id,英雄,赛季,段位,局内评分,输赢,有效伤害,有效承伤,经济转控制,控制时长,血包窃取,视野价值,高压补刀,关键助攻,中立资源抢夺,对位资源差,对位经济差,经济转有效伤害,经济转治疗,经济转有效承伤,参与控龙,参与推塔,对塔伤害,输出伤害占比,伤害转化比,承受伤害占比,总经济,总经济占比,野怪经济占比,补兵数,补刀占比,k,d,a,k占比,d占比,a占比,参团率,控制占比,治疗占比,对塔伤害占比,对局前总评分,对局前总胜率,对局前总场次,对局后总评分,对局后总胜率,分路,对局前分路评分,对局前分路胜率,对局前分路场次,对局后分路评分,对局后分路胜率,备注
1,元流之子辅,S42,青铜3,2,1,-,-,-,-,-,28,-,-,-,-,-,-,-,4,1,1,-,0,0,0.13,8600,0.15,0.02,2,0.01,0,7,3,0,0.24,0.08,0.1,0,0.19,0,0,0,0,24.6,1,游走,0,0,0,24.6,1,-
2,孙悟空,S42,青铜3,2,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,-,0,0,0,6400,0.16,0.48,0,0,0,4,0,0,0.4,0,0,0,0.07,0,24.6,1,1,24.4,1,打野,0,0,0,24.3,1,-
3,明世隐,S42,青铜3,2.5,1,-,-,-,-,-,-,-,-,-,-,400,-,0,4,-,-,-,0.02,0.1,0.21,4500,0.14,0.03,0,0,0,3,3,0,0.75,0.21,0.14,0,0.04,0,24.4,1,2,27.6,1,游走,24.6,1,1,29.3,1,-
4,亚瑟,S42,青铜3,2,1,-,0.12,-,-,-,28,-,-,-,-,-,-,-,4,-,2,-,0.01,0,0.12,6400,0.15,0,1,0.01,0,3,0,0,0.19,0,0,0,0.33,0.06,27.6,1,3,28.1,1,对抗,0,0,0,29.4,1,-
5,廉颇,S42,青铜2,3.9,1,-,-,-,-,-,14,-,-,-,-,-,4,-,7,-,-,-,0.07,0.5,0.25,4600,0.14,0.07,4,0.05,0,3,5,0,0.27,0.24,0.19,0.15,0.12,0.18,28.1,1,4,31.9,1,发育,0,0,0,47.3,1,这把游走被识别成发育？
6,牛魔,S42,青铜2,5.6,1,0.13,-,-,39.2,2,24,-,8,-,-,-,-,-,-,-,-,-,0.13,0.8,0.19,6100,0.16,0.04,3,0.04,0,5,11,0,0.28,0.38,0.39,0.52,0.03,0.06,31.9,1,5,36.9,1,游走,29.3,1,2,40.1,1,
7,孙悟空,S42,青铜2,3.1,1,0.06,-,-,-,-,20,-,-,-,-,-,-,-,-,0,0,-,0.06,0.3,0.11,7700,0.17,0.76,7,0.06,0,3,0,0,0.21,0,0,0.07,0.22,0,36.9,1,6,36.4,1,打野,29.3,1,1,28.7,1,
8,凯,S42,青铜1,6.2,1,-,-,6,25.4,1,16,-,-,-,1200,885,-,-,-,-,-,-,0.12,0.8,0.15,4300,0.16,0.2,7,0.11,1,1,0,0.05,0.17,0,0.05,0.45,0.16,0.07,36.4,1,7,39.6,1,对抗,24.3,1,1,45.9,1,
9,兰陵王,S42,青铜1,5.6,1,0.08,-,-,-,-,-,-,2,1,-,1400,-,-,-,-,-,-,0.08,0.5,0.14,4700,0.16,0.75,0,0,1,2,3,0.03,0.4,0.09,0.13,0.33,0.12,0,39.6,1,8,41.3,1,打野,28.7,1,2,37.5,1,
10,李元芳,S42,青铜1,5.6,0,-,-,-,-,-,56,-,-,-,-,-,10,-,-,-,3,-,0.09,0.4,0.16,13100,0.2,0.13,47,0.28,1,10,2,0.1,0.32,0.22,0.3,0.1,0.15,0.49,41.3,1,9,42.4,0.9,发育,47.3,1,1,49.5,0.5,
11,东皇太一,S42,青铜1,5.3,1,-,-,-,-,-,23,5,-,-,-,343,6,-,-,-,-,-,0.15,0.9,0.29,5400,0.16,0.03,25,0.23,1,3,1,0.05,0.43,0.05,0.1,0,0.29,0.15,42.4,0.9,10,43.7,0.909,对抗,45.9,1,2,49.7,1,
12,狄仁杰,S42,白银3,7.4,1,-,-,-,-,-,36,-,-,-,-,3100,-,-,-,-,-,0.56,0.21,1,0.13,11200,0.2,0.05,43,0.28,5,4,12,0.14,0.15,0.21,0.47,0.24,0.05,0.56,43.7,0.909,11,46,0.917,发育,49.7,0.5,2,56.7,0.667,
